date,price
7/26/2013,1331
7/29/2013,1329.8
7/30/2013,1324.2
7/31/2013,1314.5
8/1/2013,1315
8/2/2013,1309.3
8/5/2013,1304.8
8/6/2013,1280.5
8/7/2013,1282.5
8/8/2013,1298.3
8/9/2013,1309
8/12/2013,1341
8/13/2013,1328.5
8/14/2013,1326.5
8/15/2013,1329.8
8/16/2013,1369.3
8/19/2013,1365
8/20/2013,1372.5
8/21/2013,1363
8/22/2013,1375.5
8/23/2013,1377.5
8/26/2013,1377.5
8/27/2013,1419.3
8/28/2013,1419.5
8/29/2013,1407.8
8/30/2013,1394.8
9/2/2013,1392.3
9/3/2013,1399.5
9/4/2013,1390
9/5/2013,1385
9/6/2013,1387
9/9/2013,1390
9/10/2013,1358.3
9/11/2013,1363.8
9/12/2013,1328
9/13/2013,1318.5
9/16/2013,1324
9/17/2013,1312.3
9/18/2013,1301
9/19/2013,1365.5
9/20/2013,1349.3
9/23/2013,1323
9/24/2013,1314.3
9/25/2013,1322.8
9/26/2013,1333
9/27/2013,1341
9/30/2013,1326.5
10/1/2013,1290.8
10/2/2013,1306.3
10/3/2013,1316
10/4/2013,1309.8
10/7/2013,1323.5
10/8/2013,1329.5
10/9/2013,1304
10/10/2013,1298.5
10/11/2013,1265.5
10/14/2013,1285.5
10/15/2013,1270.5
10/16/2013,1273.5
10/17/2013,1319.3
10/18/2013,1316.5
10/21/2013,1317.5
10/22/2013,1333
10/23/2013,1331.3
10/24/2013,1344.8
10/25/2013,1347.8
10/28/2013,1361
10/29/2013,1349.3
10/30/2013,1354.8
10/31/2013,1324
11/1/2013,1306.8
11/4/2013,1320.5
11/5/2013,1307.3
11/6/2013,1319
11/7/2013,1307.3
11/8/2013,1285.5
11/11/2013,1282.5
11/12/2013,1281.3
11/13/2013,1272.5
11/14/2013,1286
11/15/2013,1287.3
11/18/2013,1283.5
11/19/2013,1275.8
11/20/2013,1257
11/21/2013,1240
11/22/2013,1246.3
11/25/2013,1243
11/26/2013,1247.5
11/27/2013,1245
11/28/2013,1245.5
11/29/2013,1253
12/2/2013,1229.5
12/3/2013,1217.3
12/4/2013,1227.5
12/5/2013,1222.5
12/6/2013,1233
12/9/2013,1237
12/10/2013,1266.3
12/11/2013,1260.8
12/12/2013,1225.3
12/13/2013,1232
12/16/2013,1234.8
12/17/2013,1231.8
12/18/2013,1230.5
12/19/2013,1196
12/20/2013,1195.3
12/23/2013,1199
12/24/2013,1199
12/25/2013,1199
12/26/2013,1199
12/27/2013,1214.5
12/30/2013,1204.5
12/31/2013,1204.5
1/1/2014,1204.5
1/2/2014,1225
1/3/2014,1234.5
1/6/2014,1246.3
1/7/2014,1227.5
1/8/2014,1221
1/9/2014,1226
1/10/2014,1244.3
1/13/2014,1248
1/14/2014,1251.5
1/15/2014,1236
1/16/2014,1241.5
1/17/2014,1250
1/20/2014,1255.8
1/21/2014,1238
1/22/2014,1241
1/23/2014,1263
1/24/2014,1267
1/27/2014,1260.5
1/28/2014,1251.3
1/29/2014,1264
1/30/2014,1242.5
1/31/2014,1251
2/3/2014,1262
2/4/2014,1250.3
2/5/2014,1254.5
2/6/2014,1256.5
2/7/2014,1259.3
2/10/2014,1277
2/11/2014,1282
2/12/2014,1289.5
2/13/2014,1296
2/14/2014,1320
2/17/2014,1327.5
2/18/2014,1320.8
2/19/2014,1320.5
2/20/2014,1316.3
2/21/2014,1323.3
2/24/2014,1334.8
2/25/2014,1339
2/26/2014,1331.8
2/27/2014,1332.3
2/28/2014,1326.5
3/3/2014,1349.5
3/4/2014,1334.8
3/5/2014,1337
3/6/2014,1345.3
3/7/2014,1335.3
3/10/2014,1344
3/11/2014,1346.3
3/12/2014,1366
3/13/2014,1368.8
3/14/2014,1385
3/17/2014,1378.5
3/18/2014,1355.8
3/19/2014,1338
3/20/2014,1327
3/21/2014,1336
3/24/2014,1310.8
3/25/2014,1313.5
3/26/2014,1304
3/27/2014,1296
3/28/2014,1294.8
3/31/2014,1291.8
4/1/2014,1283.8
4/2/2014,1292
4/3/2014,1284
4/4/2014,1297.3
4/7/2014,1299
4/8/2014,1309.5
4/9/2014,1301.8
4/10/2014,1320.5
4/11/2014,1318
4/14/2014,1325.8
4/15/2014,1298
4/16/2014,1301.5
4/17/2014,1299
4/18/2014,1299
4/21/2014,1299
4/22/2014,1286.8
4/23/2014,1285.3
4/24/2014,1291.5
4/25/2014,1301.3
4/28/2014,1299
4/29/2014,1297.8
4/30/2014,1288.5
5/1/2014,1278.5
5/2/2014,1281.3
5/5/2014,1281.3
5/6/2014,1306.3
5/7/2014,1296
5/8/2014,1287
5/9/2014,1291.3
5/12/2014,1298.8
5/13/2014,1296.5
5/14/2014,1305.3
5/15/2014,1299
5/16/2014,1291.5
5/19/2014,1302
5/20/2014,1295.5
5/21/2014,1287.3
5/22/2014,1298.5
5/23/2014,1291.5
5/26/2014,1291.5
